CONFIG,TYPE,OWNER,NOTE,6763_64,6739,6739_64,6771,6771_64,6768,6768_64,6785,6785_64,6885,6885_64,6886,6886_64
CONFIG_DM_ANDROID_VERITY_AT_MOST_ONCE_DEFAULT_ENABLED,PROJECT,pangyen.chen,,,,,,,,,,,,,,
CONFIG_DM_CRYPT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DM_DEBUG,USER,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DM_UEVENT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DM_VERITY,PROJECT,Calvin.Liao,for dm-verity,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DM_VERITY                        ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DM_VERITY_FEC,PROJECT,pangyen.chen, new config I1b7b0441f385f77703b529b6efe6b78d122676b1,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DMA_API_DEBUG,USER,miles.chen,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DMA_MTK_UART,PLATFORM,qiangming.xia,,N,N,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DMADEVICES,PLATFORM,qiangming.xia,,N,N,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DMAUSER_PAGES,PROJECT,Miles.Chen,new config 246784055571763c932926925ddb585948ce81cd,,,,,,,,,,,,,
CONFIG_DRM,PLATFORM,vincent.sung,whitney gpu requirement,X,X,X,X,X,X,X,X,X,y,y,X,X
CONFIG_DRM_MEDIATEK,PLATFORM,,,X,X,X,X,X,X,X,X,X,y,y,X,X
CONFIG_DRM_PANEL_K6885V1_64_ALPHA_01,PROJECT,,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_DRM_PANEL_K6885V1_64_ALPHA_VDO_01,PROJECT,,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_DRM_PANEL_K6885V1_64_ALPHA_VDO_02,PROJECT,,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_DRM_PANEL_TIANMA_R66451_CMD,PROJECT,,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_DRM_PANEL_TRULY_TD4330_CMD,PROJECT,,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_DRM_PANEL_TRULY_TD4330_VDO,PROJECT,,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_DUAL_ROLE_USB_INTF,PROJECT,vend_jeff_chang001,new config at this commit ebc855c95fb2bdff04b66d63675dbac9387577a8,,,,,,,,,,,,,
CONFIG_DYNAMIC_DEBUG,PLATFORM,,,y,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_EFI,PLATFORM,my.chuang,arm64 only,N,X,N,X,N,X,N,X,N,X,N,X,N
CONFIG_EMBEDDED                         ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ENABLE_DEFAULT_TRACERS,PROJECT,,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_EPOLL                            ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ETHERNET,COMMON,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_EVENTFD                          ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_EXT4_DEBUG,USER;PROJECT,perry.hsu,nand project,,,,,,,,,,,,,
CONFIG_EXT4_ENCRYPTION,PROJECT,perry.hsu,new config at this commit c777cd8d340291bb9854fc9c34854e3a17df3859,,,,,,,,,,,,,
CONFIG_EXT4_FS,PROJECT,,,y,y,X,y,y,X,X,X,X,X,X,X,X
CONFIG_EXT4_FS_ENCRYPTION,PROJECT,perry.hsu,disable in 1aadaf04723883ec1a64643c2a0d083e3135aafa,,,,,,,,,,,,,
CONFIG_EXT4_FS_SECURITY,PROJECT,,,y,y,X,y,y,X,X,X,X,X,X,X,X
CONFIG_EXTBUCK_MT6311,PLATFORM,jeter.chen,,y,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_EXTCON_MTK_USB,PLATFORM,eddie.hung,,X,X,X,y,y,X,X,y,y,y,y,X,X
CONFIG_EXTREME_LOW_RAM,COMMON,yu-fu.kao,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_F2FS_FS,PROJECT,sophie.wang,new config in this commit cb46fad4247e478040df7d7260288c59785e446b,X,O,X,X,X,X,X,X,X,X,X,X,X
CONFIG_F2FS_FS_ENCRYPTION,PROJECT,sophie.wang,new config in this commit cb46fad4247e478040df7d7260288c59785e446b,X,O,X,X,X,X,X,X,X,X,X,X,X
CONFIG_F2FS_FS_SECURITY,PROJECT,sophie.wang,new config in this commit cb46fad4247e478040df7d7260288c59785e446b,X,O,X,X,X,X,X,X,X,X,X,X,X
CONFIG_FAIL_FUTEX,PROJECT,miles.lin,Need to enable or modify this option according to https://github.com/google/syzkaller/blob/master/docs/linux/kernel_configs.md,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_FAIL_IO_TIMEOUT,PROJECT,miles.lin,Need to enable or modify this option according to https://github.com/google/syzkaller/blob/master/docs/linux/kernel_configs.md,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_FAIL_MAKE_REQUEST,PROJECT,miles.lin,Need to enable or modify this option according to https://github.com/google/syzkaller/blob/master/docs/linux/kernel_configs.md,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_FAIL_PAGE_ALLOC,PROJECT,miles.lin,Need to enable or modify this option according to https://github.com/google/syzkaller/blob/master/docs/linux/kernel_configs.md,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_FAILSLAB,PROJECT,miles.lin,Need to enable or modify this option according to https://github.com/google/syzkaller/blob/master/docs/linux/kernel_configs.md,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_FAULT_INJECTION,PROJECT,,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_FAULT_INJECTION_DEBUG_FS,PROJECT,miles.lin,Need to enable or modify this option according to https://github.com/google/syzkaller/blob/master/docs/linux/kernel_configs.md,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_FB,PLATFORM,,,y,y,X,y,X,y,X,y,X,y,X,y,X
CONFIG_FB_MODE_HELPERS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FB_TILEBLITTING,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FHANDLE,COMMON,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_FHANDLE                          ,COMMON,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_FILE_LOCKING                     ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FORTIFY_SOURCE,PROJECT,miles.lin,Need to enable or modify this option according to https://github.com/google/syzkaller/blob/master/docs/linux/kernel_configs.md,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_FRAME_WARN,PLATFORM,Miles.Chen,KASAN used,1500,1500,2800,1500,1500,1500,2800,1500,2800,1500,3600,1500,3600
CONFIG_FUSE_FS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FUSE_FS                          ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FUTEX                            ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FW_LOADER_USER_HELPER_FALLBACK,PLATFORM,Morven-CF.Yeh,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_GATOR,COMMON,Ian-y.Chen,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_GATOR_DRIVER,COMMON,Ian-y.Chen,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_GPS,COMMON,chaoran.zhang,"SE1/CS6, useless in new chip",X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_GT1151_CONFIG,PROJECT,zh.chen,,,,,,,,,,,,,,
CONFIG_GT1151_FIRMWARE,PROJECT,zh.chen,,,,,,,,,,,,,,
CONFIG_GTP_AUTO_UPDATE,PROJECT,Jane Zhang,,,,,,,,,,,,,,
CONFIG_GTP_CREATE_WR_NODE,PROJECT,Jane Zhang,,,,,,,,,,,,,,
CONFIG_GTP_CUSTOM_CFG,PROJECT,Jane Zhang,,,,,,,,,,,,,,
CONFIG_GTP_DRIVER_SEND_CFG,PROJECT,Jane Zhang,,,,,,,,,,,,,,
CONFIG_GTP_HEADER_FW_UPDATE,PROJECT,Jane Zhang,,,,,,,,,,,,,,
CONFIG_GTP_HOTKNOT,PROJECT,Jane Zhang,,,,,,,,,,,,,,
CONFIG_GTP_ICS_SLOT_REPORT,PROJECT,Jane Zhang,,,,,,,,,,,,,,
CONFIG_GTP_POWER_CTRL_SLEEP,PROJECT,Jane Zhang,,,,,,,,,,,,,,
CONFIG_GTP_REQUEST_FW_UPDATE,PROJECT,camo xiao,,y,y,O,y,y,O,O,O,O,O,O,O,O
CONFIG_GZ_V2_SUPPORT,PROJECT,chsuan.lin,,O,,O,,O,,O,,O,,O,,O
CONFIG_GZ_V2_SUPPORT,PROJECT,chsuan.lin,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_HARDENED_USERCOPY                ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HAVE_ARM_ARCH_TIMER,PLATFORM,,,X,y,X,y,X,y,X,y,X,y,X,y,X
CONFIG_HEADSET_SUPPORT_FIVE_POLE,PROJECT,zh.chen,new config in this commit d7e6a06694326785164e1d5412d5a9a8513648ad,,,,,,,,,,,,,
CONFIG_HIBERNATION,PROJECT,Calvin.Hung,,,,,,,,,,,,,,
CONFIG_HID_A4TECH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_APPLE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_BELKIN,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_CHERRY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_CHICONY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_CYPRESS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_DRAGONRISE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_EZKEY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_GREENASIA,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_GYRATION,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_KENSINGTON,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_KYE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_LOGITECH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_MAGICMOUSE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_MICROSOFT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_MONTEREY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_NTRIG,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_HID_PANTHERLORD,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_PETALYNX,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_PLANTRONICS,PLATFORM,,,X,X,y,X,X,X,X,y,y,y,y,y,y
CONFIG_HID_SAMSUNG,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_SMARTJOYPLUS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_SONY,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_HID_SUNPLUS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_THRUSTMASTER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_TOPSEED,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_TWINHAN,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_ZEROPLUS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HIDRAW,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HIE,PROJECT,peng.zhou,,,,,,,,,,,,,,
CONFIG_HIE_DEBUG,USER,stanley.chu,,X,X,N,X,X,N,N,N,N,N,N,N,N
CONFIG_HIGH_RES_TIMERS                  ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HIGHMEM,PLATFORM,,,X,y,X,y,X,y,X,y,X,y,X,y,X
CONFIG_HIGHPTE,COMMON,miles.chen,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_HIGHPTE,PLATFORM,miles.chen,,X,N,X,N,X,N,X,N,X,N,X,N,X
CONFIG_HMP_FREQUENCY_INVARIANT_SCALE,PLATFORM,michael.jiang,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_HW_RANDOM,COMMON,neal.liu,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HW_RANDOM_MT67XX,COMMON,neal.liu,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HWMON,COMMON,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_HWZRAM_DRV,PROJECT,Chinwen.Chang,,,,,,,,,,,,,,
CONFIG_HWZRAM_IMPL,PROJECT,Chinwen.Chang,,,,,,,,,,,,,,
CONFIG_HZ_300,PROJECT,,,O,,O,,O,,O,,O,,O,,O
CONFIG_I2C,COMMON,,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_I2C_MTK,COMMON,camo.xiao,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IFB,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IIO,PROJECT,gaia.chang,,,,,,,,,,,,,,
CONFIG_IIO_BUFFER,PLATFORM,benjamin.chao,,x,x,x,x,,,,
CONFIG_IIO_KFIFO_BUF,PLATFORM,benjamin.chao,,x,x,x,x,,,,
CONFIG_IKCONFIG                         ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IKCONFIG_PROC                    ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IMGSENSOR_MAIN,PROJECT,josepchi.tsai,,X,X,O,O,O,O,O,O,O,O,O,O,O
CONFIG_IMGSENSOR_MAIN2,PROJECT,josepchi.tsai,,X,X,O,O,O,O,O,O,O,O,O,O,O
CONFIG_INET                             ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET_DIAG_DESTROY                ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET_ESP                         ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET_UDP_DIAG                    ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET_XFRM_MODE_TRANSPORT         ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET_XFRM_MODE_TUNNEL            ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET6_ESP                        ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET6_IPCOMP                     ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET6_XFRM_MODE_TRANSPORT        ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INET6_XFRM_MODE_TUNNEL           ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INOTIFY_USER                     ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INPUT_EVDEV,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INPUT_KEYCHORD,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_INPUT_MISC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INPUT_MOUSE,COMMON,Unused,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_INPUT_MOUSEDEV,COMMON,Unused,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_INPUT_MOUSEDEV_SCREEN_X,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_INPUT_MOUSEDEV_SCREEN_Y,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_INPUT_TOUCHSCREEN,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INPUT_UINPUT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_INTEGRITY_ASYMMETRIC_KEYS,PROJECT,pangyen.chen,,,,,,,,,,,,,,
CONFIG_INTEGRITY_SIGNATURE,PROJECT,pangyen.chen,,,,,,,,,,,,,,
CONFIG_IOMMU_SUPPORT,COMMON,ning.feng,useless in 71/75,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_ION,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_ADVANCED_ROUTER               ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_MULTICAST                     ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_MULTIPLE_TABLES               ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_ARP_MANGLE                 ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_ARPFILTER                  ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_ARPTABLES                  ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_FILTER                     ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_IPTABLES                   ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_MANGLE                     ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_MATCH_ECN                  ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_MATCH_TTL                  ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_NAT                        ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_RAW                        ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_SECURITY                   ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_TARGET_MASQUERADE          ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_TARGET_NETMAP              ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_TARGET_REDIRECT            ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP_NF_TARGET_REJECT              ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_FILTER                    ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_IPTABLES                  ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_MANGLE                    ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_MATCH_RPFILTER            ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_RAW                       ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IP6_NF_TARGET_REJECT             ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6                             ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_MIP6                        ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_MULTIPLE_TABLES             ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_OPTIMISTIC_DAD              ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_ROUTE_INFO                  ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_ROUTER_PREF                 ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_IPV6_VTI                         ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ISO9660_FS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_JOLIET,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_KALLSYMS_BASE_RELATIVE,COMMON,james.hsu,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_KASAN,USER;PROJECT,walter-zh.wu,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_KASAN_INLINE,USER;PROJECT,walter-zh.wu,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_KCOV,PROJECT,,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_KEYBOARD_ATKBD,COMMON,Unused,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_KEYBOARD_MTK,COMMON,Zh.Chen,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_KEYBOARD_MTK_PMIC,PLATFORM,chang-an.chen,Keypad owner,X,y,X,X,X,X,X,X,X,X,X,X,X
CONFIG_KEYS,PROJECT,pangyen.chen,,,,,,,,,,,,,,
CONFIG_KGDB,USER,my.chuang,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_KGDB_KDB,USER,my.chuang,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_KPD_PMIC_LPRST_TD,PROJECT,elvin.lin,,,,,,,,,,,,,,
CONFIG_KPD_PWRKEY_USE_PMIC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_KSM,PROJECT,Casper.Li,A-go project only,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_L2TP                             ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_LCM_HEIGHT,PROJECT,xiaobin.wei,,,,,,,,,,,,,,
CONFIG_LCM_WIDTH,PROJECT,xiaobin.wei,,,,,,,,,,,,,,
CONFIG_LEDS_CLASS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_LEDS_PWM,PROJECT,xing.zhang,,N,N,N,N,N,N,N,N,N,y,y,N,N
CONFIG_LEDS_MTK_PWM,PROJECT,xing.zhang,,N,N,N,N,N,N,N,N,N,y,y,N,N
CONFIG_LEDS_MTK_DISP,PROJECT,xing.zhang,,N,N,N,N,N,N,N,N,N,,,N,N
CONFIG_LEDS_TRIGGER_TIMER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_LEDS_TRIGGERS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_LEGACY_PTY_COUNT,COMMON,,,16,16,16,16,16,16,16,16,16,16,16,16,16
CONFIG_LIGHTNESS_MAPPING_VALUE,PROJECT,xuexi.bai,custom setting with default,,,,,,,,,,,,,
CONFIG_LOAD_SWITCH_RT9750,PROJECT,vend_shufan_lee001,,,,,,,,,,,,,,
CONFIG_LOCALVERSION_AUTO,COMMON,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_LOG_BUF_SHIFT,PROJECT,,,19,18,19,18,19,18,19,18,19,18,19,18,19
CONFIG_LOG_TOO_MUCH_DETECT_COUNT,USER;PROJECT,Yuxian.Xu,new config in this commit 6de386d4ce6ebe8d82c8fef64cc04a57503cded9,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_LOG_TOO_MUCH_WARNING,USER;PROJECT,Yuxian.Xu,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_LOGO,PROJECT,,,,,,,,,,,,,,,
CONFIG_MACH_MT6739,PLATFORM,,,X,y,y,X,X,X,X,X,X,X,X,X,X
CONFIG_MACH_MT6763,PLATFORM,,,y,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MACH_MT6768,PLATFORM,,,X,X,X,X,X,y,y,X,X,X,X,X,X
CONFIG_MACH_MT6771,PLATFORM,,,X,X,X,y,y,X,X,X,X,X,X,X,X
CONFIG_MACH_MT6785,PLATFORM,,,X,X,X,X,X,X,X,y,y,X,X,X,X
CONFIG_MACH_MT6885,PLATFORM,,,X,X,X,X,X,X,X,X,X,y,y,X,X
CONFIG_MACH_MT6886,PLATFORM,,,X,X,X,X,X,X,X,X,X,X,X,y,y
CONFIG_MAGIC_SYSRQ                      ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MAILBOX,COMMON,dennis-yc.hsieh,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MD,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MD                               ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MD_LINEAR,PROJECT,pangyen.chen,,,,,,,,,,,,,,
CONFIG_MEDIA_CAMERA_SUPPORT,PLATFORM,Chia-Mao.Hung,,X,y,y,X,X,y,y,y,y,y,y,y,y
CONFIG_MEDIA_SUPPORT,PLATFORM,Chia-Mao.Hung,,X,y,y,X,X,y,y,y,y,y,y,y,y
CONFIG_MEDIA_USB_SUPPORT,PLATFORM,,,X,y,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MEDIATEK_MT6577_AUXADC,PLATFORM,chun-hung.wu,,X,X,X,X,X,y,y,y,y,y,y,y,y
CONFIG_MEDIATEK_SOLUTION,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MEMBARRIER                       ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MEMCG                            ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MEMCG_SWAP                       ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MFD_MT6358,PLATFORM,jeter.chen,,X,X,X,X,X,y,y,y,y,y,y,y,y
CONFIG_MFD_MT6360_PMU,PLATFORM,wilma.wu,,,,,,,X,X,y,y,y,y,y,y
CONFIG_MFD_MT6370_PMU,PROJECT,wilma.wu,,O,,O,,O,,O,,O,,O,,O
CONFIG_MFD_RT5081_PMU,PROJECT,vend_gene_chen001,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_MFD_SYSCON,COMMON,,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MICROTRUST_TEE_SUPPORT,PROJECT,Calvin.Liao,TEEI,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_MICROTRUST_TEE_VERSION,PROJECT,Calvin.Liao,TEEI,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_MMC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MMC_BLOCK_MINORS,COMMON,,,32,32,32,32,32,32,32,32,32,32,32,32,32
CONFIG_MMC_MTK,PROJECT,,,,,,,,,,,,,,,
CONFIG_MMC_MTK_PRO,PROJECT,andy.teng,new config in this commit 82cb77493ea32288206e7399cc206e617fefec81,,,,,,,,,,,,,
