CONFIG,TYPE,OWNER,NOTE,6763_64,6739,6739_64,6771,6771_64,6768,6768_64,6785,6785_64,6885,6885_64,6886,6886_64
CONFIG_BT,PLATFORM,yu-min.lin,,y,y,X,y,y,X,X,X,X,y,y,X,X
CONFIG_BUG_ON_DATA_CORRUPTION,COMMON,chunhui.li,new config,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_BUILD_ARM_APPENDED_DTB_IMAGE,PLATFORM,chia-hao.hsu,,X,y,X,y,X,y,X,y,X,y,X,y,X
CONFIG_BUILD_ARM_APPENDED_DTB_IMAGE_NAMES,PROJECT,,,X,O,X,O,X,O,X,O,X,O,X,O,X
CONFIG_BUILD_ARM_DTB_OVERLAY_IMAGE,PROJECT,chia-hao.hsu,,X,,X,,X,,X,,X,,X,,X
CONFIG_BUILD_ARM_DTB_OVERLAY_IMAGE_NAMES,PROJECT,,,,,,,,,,,,,,,
CONFIG_BUILD_ARM64_APPENDED_DTB_IMAGE,PLATFORM,chia-hao.hsu,,y,X,y,X,y,X,y,X,y,X,y,X,y
CONFIG_BUILD_ARM64_APPENDED_DTB_IMAGE_NAMES,PROJECT,,,O,X,O,X,O,X,O,X,O,X,O,X,O
CONFIG_BUILD_ARM64_DTB_OVERLAY_IMAGE,PROJECT,chia-hao.hsu,,X,,X,,X,,X,,X,,X,,X
CONFIG_BUILD_ARM64_DTB_OVERLAY_IMAGE_NAMES,PROJECT,,,,,,,,,,,,,,,
CONFIG_CC_OPTIMIZE_FOR_SIZE,PROJECT,Johnson.Lin,new config in this commit 9367ac77e8f7c369c26aa3bed4955030064d9e3e,,,,,,,,,,,,,
CONFIG_CC_STACKPROTECTOR_REGULAR,USER,my.chuang,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_CC_STACKPROTECTOR_STRONG,COMMON,my.chuang,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CC_STACKPROTECTOR_STRONG         ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CFG80211,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CFG80211_DEBUGFS,USER,,,X,X,N,N,N,N,N,N,N,N,N,N,N
CONFIG_CFG80211_DEFAULT_PS,COMMON,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_CFG80211_DEVELOPER_WARNINGS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CFG80211_INTERNAL_REGDB,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CFG80211_WEXT,COMMON,Peiyong.Feng,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_CGROUP_BPF                       ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CGROUP_CPUACCT                   ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CGROUP_DEBUG,PLATFORM,lixiong.liu,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CGROUP_FREEZER                   ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CGROUP_PIDS,PROJECT,miles.lin,Need to enable or modify this option according to https://github.com/google/syzkaller/blob/master/docs/linux/kernel_configs.md,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_CGROUP_SCHED                     ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CGROUPS                          ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CHARGER_RT9458,PROJECT,vend_gene_chen001,,,,,,,,,,,,,,
CONFIG_CHARGER_RT9465,PROJECT,vend_shufan_lee001,,,,,,,,,,,,,,
CONFIG_CHARGER_RT9467,PROJECT,ivan-yh.chen,,,,,,,,,,,,,,
CONFIG_CHARGER_RT9471,PROJECT,cpi00079,,,,,,,,,,,,,,
CONFIG_CLS_U32_MARK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CLS_U32_PERF,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CMA,PROJECT,Miles.Chen,Specific usage,,,,,,,,,,,,,
CONFIG_CMA_DEBUG,PROJECT,Miles.Chen,Specific usage,,,,,,,,,,,,,
CONFIG_CMDLINE,COMMON,,,"console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O "
CONFIG_COMPAT,PLATFORM,,,y,X,y,X,y,X,y,X,y,X,y,X,y
CONFIG_CORE_DUMP_DEFAULT_ELF_HEADERS,COMMON,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_CPU_FREQ,COMMON,Charles.Yang,DVFS status basic configs,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_DEFAULT_GOV_SCHEDUTIL,PLATFORM,yun.hsiang,,X,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_GOV_ONDEMAND,COMMON,Charles.Yang,DVFS,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_GOV_POWERSAVE,COMMON,Charles.Yang,DVFS,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_GOV_SCHEDUTIL,PLATFORM,yun.hsiang,,X,X,X,y,y,X,X,X,X,X,X,X,X
CONFIG_CPU_FREQ_GOV_USERSPACE,COMMON,Charles.Yang,DVFS,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_STAT,COMMON,Charles.Yang,DVFS status,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_TIMES,COMMON,Charles.Yang,DVFS status,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRC8,PLATFORM,benjamin.chao,,x,x,x,x,,,,
CONFIG_CPUSETS,PROJECT,,,,,y,,,y,y,y,y,y,y,y,y
CONFIG_CROSS_COMPILE,PLATFORM,,,aarch64-linux-android-,arm-eabi-,aarch64-linux-android-,arm-eabi-,aarch64-linux-android-,arm-eabi-,aarch64-linux-android-,arm-eabi-,aarch64-linux-android-,arm-eabi-,aarch64-linux-android-,arm-eabi-,aarch64-linux-android-
CONFIG_CROSS_MEMORY_ATTACH              ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_AES                       ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_AES_ARM,PLATFORM,Calvin.Liao,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_CRYPTO_AES_ARM_BS,PROJECT,Calvin.Liao,,,y,,y,,y,,y,,y,,y,
CONFIG_CRYPTO_AES_ARM_CE,PROJECT,Calvin.Liao,,,y,,y,,y,,y,,y,,y,
CONFIG_CRYPTO_AES_ARM64_CE,PLATFORM,Calvin.Liao,,y,X,y,X,y,X,y,X,y,X,y,X,y
CONFIG_CRYPTO_AES_ARM64_CE_BLK,PLATFORM,Calvin.Liao,,y,X,y,X,y,X,y,X,y,X,y,X,y
CONFIG_CRYPTO_ANSI_CPRNG,COMMON,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_CRYPTO_CBC                       ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_CTR,PROJECT,Calvin.Liao,,,,,,,,,,,,,,
CONFIG_CRYPTO_ECB                       ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_ECHAINIV,PROJECT,Calvin.Liao,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_CRYPTO_GCM                       ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_GHASH_ARM_CE,PROJECT,Calvin.Liao,,,y,,y,,y,,y,,y,,y,
CONFIG_CRYPTO_HMAC                      ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_HW,COMMON,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_CRYPTO_LZO,PROJECT,linger.lee,ubifs,,,,,,,,,,,,,
CONFIG_CRYPTO_MD5                       ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_NULL,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_NULL                      ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_SHA1                      ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_SHA1_ARM_CE,PROJECT,Calvin.Liao,,,y,,y,,y,,y,,y,,y,
CONFIG_CRYPTO_SHA1_ARM_NEON,PROJECT,Calvin.Liao,,,y,,y,,y,,y,,y,,y,
CONFIG_CRYPTO_SHA2_ARM_CE,PROJECT,Calvin.Liao,,,y,,y,,y,,y,,y,,y,
CONFIG_CRYPTO_SHA2_ARM64_CE,PLATFORM,Calvin.Liao,,y,X,y,X,y,X,y,X,y,X,y,X,y
CONFIG_CRYPTO_SHA256,PROJECT,Calvin.Liao,for dm-verity,,,,,,,,,,,,,
CONFIG_CRYPTO_SHA256                    ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_SHA512,COMMON,Calvin.Liao,for dm-verity,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_SHA512                    ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_SHA512_ARM,PROJECT,Calvin.Liao,,,y,,y,,y,,y,,y,,y,
CONFIG_CRYPTO_TWOFISH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_XCBC,PROJECT,linger.lee,ubifs,,,,,,,,,,,,,
CONFIG_CT6M_SUPPORT,PROJECT,Yanbin.Ren,new config ed4d60d7f1f8eb2fd663c6aceb92cd33d455de06,,,,,,,,,,,,,
CONFIG_CUSTOM_BATTERY_EXTERNAL_CHANNEL,PROJECT,Pengshun.Zhao,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_ACCELEROMETER,PROJECT,Lomen.Wu,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_ACCELEROMETER_MODULE,PROJECT,Yue Wu,new config in this commit I7597083eee235dfc7189c82e62d210be5534b595,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_CUSTOM_KERNEL_ACCELGYRO,PROJECT,ruixue.su,,X,O,X,O,X,O,X,O,X,O,X,O,X
CONFIG_CUSTOM_KERNEL_ACTIVITY_SENSOR,PROJECT,yucong.xiong,new config in this commit a1a78f1763fbee529159f277816c062515ac238e,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_ALSPS,PROJECT,qiangming.xia,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_ALSPS_MODULE,PROJECT,Yue Wu,new config in this commit I7597083eee235dfc7189c82e62d210be5534b595,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_CUSTOM_KERNEL_ANSWER_CALL_SENSOR,PROJECT,qiangming.xia,new config in this commit 187fb88cfe9b07a6e086117d157e5a75b76f244f,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_BAROMETER,PROJECT,yucong.xiong,Project config,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_CAM_CAL_DRV,PROJECT,luke.hu,Project config,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_GESTURE_SENSOR,PROJECT,qiangming.xia,new config in this commit e5afb39d5bc749c04142bb69e4f89131015320a6,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_GLANCE_GESTURE_SENSOR,PROJECT,qiangming.xia,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_GMRV_SENSOR,PROJECT,hongxu.zhao,new config in this commit efa7fd3bb4ce6ae352425c40321c8d5c7c1c6c14,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_GRAVITY_SENSOR,PROJECT,hongxu.zhao,new config in this commit efa7fd3bb4ce6ae352425c40321c8d5c7c1c6c14,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_GRV_SENSOR,PROJECT,hongxu.zhao,new config in this commit efa7fd3bb4ce6ae352425c40321c8d5c7c1c6c14,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_GYROSCOPE,PROJECT,Lomen.Wu,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_GYROSCOPE_MODULE,PROJECT,Yue Wu,new config in this commit I7597083eee235dfc7189c82e62d210be5534b595,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_HDMI,PLATFORM,we.li,new config in this commit b6da34f942623cbaac8ae70f4b2405d4a81961f8,Sii8348,Sii8348,Sii8348,Sii8348,Sii8348,Sii8348,Sii8348,Sii8348,Sii8348,Sii8348,Sii8348,Sii8348,Sii8348
CONFIG_CUSTOM_KERNEL_HUMIDITY,PLATFORM,hongxu.zhao,new config in this commit 063ebd2dfda85d1c6ea1c0120c87fa93fc2570e8,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_CUSTOM_KERNEL_IMGSENSOR,PROJECT,jenlung.tsai,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_CUSTOM_KERNEL_IN_POCKET_SENSOR,PROJECT,yucong.xiong,new config in this commit a1a78f1763fbee529159f277816c062515ac238e,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_LCM,PROJECT,chih-chieh.yeh,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_LINEARACCEL_SENSOR,PROJECT,hongxu.zhao,new config in this commit efa7fd3bb4ce6ae352425c40321c8d5c7c1c6c14,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_MAGNETOMETER,PROJECT,Lomen.Wu,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_MAGNETOMETER_MODULE,PROJECT,Yue Wu,new config in this commit I7597083eee235dfc7189c82e62d210be5534b595,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_ORIENTATION_SENSOR,PROJECT,hongxu.zhao,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_PDR_SENSOR,PROJECT,xuexi.bai,new config in this commit 3a2f062b1bd2f8919be2670ccbc84133a0af0bfd,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_PEDOMETER,PROJECT,yucong.xiong,new config in this commit a1a78f1763fbee529159f277816c062515ac238e,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_PICK_UP_SENSOR,PROJECT,qiangming.xia,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_RV_SENSOR,PROJECT,hongxu.zhao,new config in this commit efa7fd3bb4ce6ae352425c40321c8d5c7c1c6c14,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_SENSOR_FUSION,PROJECT,hongxu.zhao,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_SENSORHUB,PROJECT,jie.qiu,new config in this commit dccffad3e53a6e8b4bbde13a4d06d1855dd1d23e,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_SIGNIFICANT_MOTION,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_SITUATION,PROJECT,jy.lan,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_STEP_COUNTER,PROJECT,yucong.xiong,new config in this commit a1a78f1763fbee529159f277816c062515ac238e,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_TILT_DETECTOR_SENSOR,PROJECT,qiangming.xia,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_UNCALI_ACC_SENSOR,PROJECT,zhichao.liu,,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_UNCALI_GYRO_SENSOR,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_UNCALI_MAG_SENSOR,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,,,,,,,,,,,,,
CONFIG_CUSTOM_KERNEL_WAKE_GESTURE_SENSOR,PROJECT,qiangming.xia,,,,,,,,,,,,,,
CONFIG_CUSTOM_LCM_X,PROJECT,xiaobin.wei,new config in this commit f4016501cb0eecec097a1de0760984fa6a0c4175,,,,,,,,,,,,,
CONFIG_DEBUG_ATOMIC_SLEEP,USER,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEBUG_BUGVERBOSE,USER,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEBUG_INFO,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DEBUG_KMEMLEAK,USER;PROJECT,miles.chen,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEBUG_KMEMLEAK_DEFAULT_OFF,USER;PROJECT,miles.chen,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DEBUG_KMEMLEAK_EARLY_LOG_SIZE,USER;PROJECT,miles.chen,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DEBUG_LIST,USER,Casper.Li,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEBUG_LOCKDEP,USER;PROJECT,kobe-cp.wu,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DEBUG_OBJECTS,PROJECT,Chang-An.Chen,timer debug used,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEBUG_OBJECTS_TIMERS,PROJECT,Chang-An.Chen,timer debug used,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEBUG_PAGEALLOC,USER,james.hsu,,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEBUG_PAGEALLOC_ENABLE_DEFAULT,USER,james.hsu,,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DEBUG_PREEMPT,USER,YT.Chang,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEBUG_SECTION_MISMATCH,USER;PROJECT,jades.shih,debug section mismatch,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_DEBUG_SPINLOCK,USER;PROJECT,kobe-cp.wu,new config af2e2e13088253076dd2e39493509b552944b9f3,X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),X(USER),X(USER)
CONFIG_DEBUG_STACK_USAGE,COMMON,jades.shih,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DEBUG_VIRTUAL,USER,Miles.Chen,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEBUG_VM,PROJECT,miles.lin,Need to enable or modify this option according to https://github.com/google/syzkaller/blob/master/docs/linux/kernel_configs.md,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_DEFAULT_HUNG_TASK_TIMEOUT,PROJECT,miles.lin,Need to enable or modify this option according to https://github.com/google/syzkaller/blob/master/docs/linux/kernel_configs.md,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_DEFAULT_SECURITY_SELINUX         ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DEFAULT_USE_ENERGY_AWARE,PLATFORM,YT.Chang,,,,y,X,X,y,y,y,y,y,y,y,y
CONFIG_DEVAPC_MT6885,PLATFORM,neal.liu,,X,X,X,X,X,X,X,X,X,y,y,X,X
CONFIG_DEVKMEM,COMMON,miles.chen,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEVMEM,COMMON,miles.chen,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DEVMEM                           ,COMMON,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DISABLE_CPU_SCHED_DOMAIN_BALANCE,COMMON,yt.chang,new config in this commit 415c6abc1901c852f7db422fa1f0cac2e9a6e1ef,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DM_ANDROID_VERITY,PROJECT,pangyen.chen,,,,,,,,,,,,,,
